id,state,body,address,level,type,statement_content,target_1,target_2,target_3,target_4,target_5,prohibited_1,prohibited_2,prohibited_3,prohibited_4,required_1,required_2,required_3,trigger_1,trigger_2,trigger_3,trigger_4,trigger_5,trigger_6,trigger_7,enforcement_1,enforcement_2,enforcement_3,category,bill,related,date_intro,date_adopted,date_checked,progress,url_source,url_text
AK-1,AK,Attorney General Treg Taylor,,State,Statement,Denounces CRT,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Race or ethnicity only,,,5/19/21,5/19/21,6/29/22,Enacted,,https://perma.cc/QM8T-9EKQ
AK-3,AK,Legislature,,State,Legislation,Not Specified,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Race or ethnicity, sex & more",House Bill 228,,1/7/22,,6/29/22,Pending,http://www.akleg.gov/basis/Bill/Detail/?Root=HB%20228,http://www.akleg.gov/basis/Bill/Text/32?Hsid=HB0228A
AK-4,AK,Legislature,,State,Legislation,Not Specified,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Race or ethnicity, sex & more",Senate Bill 196,,2/15/22,,6/29/22,Pending,http://www.akleg.gov/basis/Bill/Detail/32?Root=SB196,http://www.akleg.gov/PDF/32/Bills/SB0196A.PDF
AK-5,AK,Legislature,,State,Legislation,Not Specified,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"Race or ethnicity, sex & more",House Bill 391,,2/22/22,,6/29/22,Pending,http://www.akleg.gov/basis/Bill/Detail/32?Root=HB391,http://www.akleg.gov/PDF/32/Bills/HB0391A.PDF
AK-6,AK,Legislature,,State,Legislation,Not Specified,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Race or ethnicity, sex & more",House Bill 343,,2/17/22,,6/29/22,Pending,http://www.akleg.gov/basis/Bill/Detail/32?Root=HB343,http://www.akleg.gov/PDF/32/Bills/HB0343A.PDF
AK-7,AK,Legislature,,State,Legislation,Not Specified,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Race or ethnicity, sex & more",House Bill 330,,2/16/22,,6/29/22,Pending,http://www.akleg.gov/basis/Bill/Detail/32?Root=HB330,http://www.akleg.gov/PDF/32/Bills/HB0330A.PDF
AL-1,AL,Legislature,,State,Legislation,Not Specified,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Race or ethnicity, sex & more",House Bill 11,,7/15/21,,6/29/22,Pending,,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2022RS/PrintFiles/HB11-int.pdf
AL-4,AL,Attorney General Steve Marshall,,State,Statement,Denounces CRT,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Race or ethnicity only,,,5/19/21,5/19/21,6/29/22,Enacted,,https://perma.cc/QM8T-9EKQ
AL-5,AL,Legislature,,State,Legislation,Not Specified,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Race or ethnicity & sex,House Bill 9,,1/11/22,,6/29/22,Pending,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=HB9&WIN_TYPE=BillResult,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2022RS/PrintFiles/HB9-int.pdf
AL-6,AL,Alabama State Board of Education,,State,Resolution,Not Specified,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Race or ethnicity & sex,,,8/12/21,10/14/21,6/29/22,Enacted,,https://www.scribd.com/document/519934933/The-preservation-of-intellectual-freedom-and-non-discrimination-in-Alabama-s-public-schools
